business_name,phone,address,city,state,rating,reviews,category,place_id
"Neto’s Roofing LLC","+1915-283-1943","4928 Knox Dr, El Paso, TX 79904","El Paso","TX",4.9,42,"Roofing contractor","ChIJ14lgDRlR54YROV3OHGrepj0"
"Madrid & Co. Roofing","+1915-252-0358","7505 Lockheed Dr, El Paso, TX 79925","El Paso","TX",5,35,"Roofing contractor","ChIJKUvdY-38BYER0VsDiwHhg38"
"Grey Bird Roofing","+1915-297-3719","221 N Kansas St Suite 700, El Paso, TX 79901","El Paso","TX",5,3,"Roofing contractor","ChIJJ99XmsZZ54YRcaN5WNt7IIY"
"USA General Contractors INC.","+1915-633-3339","1302 Gail Borden Pl Ste A-2, El Paso, TX 79935","El Paso","TX",4.7,16,"Roofing contractor","ChIJL6pNxARF54YRx9rubikCyws"
"Recon Roofing","+1915-544-5555","700 N Stanton St 3rd Floor, El Paso, TX 79902","El Paso","TX",4.5,2,"Roofing contractor","ChIJ6VvpV-lZ54YRljAH0gy3PDE"
"Mlc Roofing And Construction","","5309 La Taste Ave, El Paso, TX 79924","El Paso","TX",4.8,22,"Roofing contractor","ChIJAQDMV11R54YRoV3wQ6psqHg"
"Varsity Roofing Group","+1915-248-5302","2030 Texas Ave, El Paso, TX 79901","El Paso","TX",5,2,"Roofing contractor","ChIJn90hULpb54YRuKpUNt8ZASU"
"Roofing & Construction","+1915-223-6972","123 Weston Brent Ln, El Paso, TX 79935","El Paso","TX",3.4,45,"Roofing contractor","ChIJufxMQJdE54YRQF6iWCW8FdA"
"DK Roofing & Construction LLC","+1915-875-4737","7500 N Loop Dr, El Paso, TX 79915","El Paso","TX",4.2,64,"Roofing contractor","ChIJuQDELphb54YRHFVeKPcvhEk"
"GRC Contractors LLC","+1915-799-3634","3 Butterfield Trail Blvd #121, El Paso, TX 79906","El Paso","TX",4.2,50,"Roofing contractor","ChIJEU9qPwZF54YR1t5XeQjGg4s"
"Paradise Construction","+1915-599-7149","","El Paso","TX",3.9,10,"Roofing contractor","ChIJy0t09CBq54YRWzLpThxobjQ"
"E & E Maintenance and Construction","+1915-706-6541","2313 Wyoming Ave, El Paso, TX 79903","El Paso","TX",5,2,"Roofing contractor","ChIJDbQl0nhZ54YRDFKv5NEDpxY"
"AJJ Cacho Roofing & Construction","+1915-626-8259","3800 Pershing Dr # A, El Paso, TX 79903","El Paso","TX",4,4,"Contractor","ChIJowDcwaVZ54YRVvIuH1-xUwQ"
"Campos Roof Systems","+1915-588-8038","4921 Titanic Ave, El Paso, TX 79904","El Paso","TX",4.3,12,"Roofing contractor","ChIJSadwmA1R54YR3qITyCI8gsk"
"Easy Roofing El Paso","+1815-296-4736","10719 Alcazar Ct, El Paso, TX 79935","El Paso","TX",5,2,"Roofing contractor","ChIJq6p6osdE54YRrLuZw8tP0A4"
"Arlington Roofing Experts","+1817-214-6464","120 S East St, Arlington, TX 76010","Arlington","TX",4.5,11,"Roofing contractor","ChIJAfLgztV9ToYR35mcd1vsc6U"
"Arlington Roof Repair","+1214-225-2281","819 E Park Row Dr #793, Arlington, TX 76010","Arlington","TX",3,2,"Roofing contractor","ChIJWXTwNgV9ToYRfnz0Zjt-rCA"
"Roofers of Arlington","+1682-286-7132","6600 Rivertrail Cir, Arlington, TX 76001","Arlington","TX",5,19,"Roofing contractor","ChIJv0uq2UNlToYRxnHOjdRbNMM"
"Inland Roofing and Exterior Experts","+1469-248-5082","101H Vinson St, Arlington, TX 76010","Arlington","TX",5,2,"Roofing contractor","ChIJbxtGceFjToYRVZtXl3gWTh8"
"JG Roofing","+1832-414-2647","1701 Reever St, Arlington, TX 76010","Arlington","TX",4.4,14,"Roofing contractor","ChIJedpwJDOHToYRsm1iEO4Mr5U"
"Hayes & Sons LLC","+1469-632-8010","550 W Jefferson St, Grand Prairie, TX 75051","Arlington","TX",4.9,81,"Roofing contractor","ChIJY8qXliiHToYRdgXlhEUtcV8"
"JRS Roofing","+1817-806-8168","1604 Grace St, Arlington, TX 76010","Arlington","TX",5,3,"Roofing contractor","ChIJ0wKn_76HToYR4MSipRDmC_c"
"Complete Exteriors LLC","+1817-470-1834","2103 E Mitchell St, Arlington, TX 76010","Arlington","TX",5,2,"Roofing contractor","ChIJJX2KU4uHToYRqi7Dfhsgo_0"
"M and M Roofing and Construction","","1910 Avalon Ln, Arlington, TX 76014","Arlington","TX",4.6,7,"Roofing contractor","ChIJrQus-wmIToYRVIijlWrt4SY"
"Alloy Plano Roofing Company","+1972-585-6750","1209 N Ave #4, Plano, TX 75074","Plano","TX",5,17,"Roofing contractor","ChIJWYGRWvMZTIYRjhkk4CXqIs4"
"Expert Roofing Plano","+1972-452-6424","1763 Montgomery Dr, Plano, TX 75075","Plano","TX",5,24,"Roofing contractor","ChIJjeWgl4IYTIYR7R7f9MTqZi0"
"Hi Tech Roofing and Construction","+1972-333-2135","Plano, TX 75074","Plano","TX",5,3,"Roofing contractor","ChIJI3QfLnYiTIYRTM1Y0SGtwO4"
"Chisholm Trail Roofing & Construction Texas","+1972-954-5322","101 E Park Blvd Suite 600, Plano, TX 75074","Plano","TX",5,12,"Roofing contractor","ChIJq6p65wEZTIYRwUZ-UORGqH0"
"Phoenix Roofing & Construction, Inc.","+1469-929-9314","1110 Summit Ave Suite #4, Plano, TX 75074","Plano","TX",4.7,28,"Roofing contractor","ChIJZ5gTHyMZTIYRwsdhMO9rXjI"
"Reliable Roofing Plano","+1972-440-4990","651 W 16th St, Plano, TX 75075","Plano","TX",4.8,8,"Roofing contractor","ChIJYUBVg1kZTIYR_ItEu4Qb59Y"
"The Quality Roofers","+1210-361-0497","1114 W Parker Rd, Plano, TX 75075","Plano","TX",5,13,"Roofing contractor","ChIJQ8WTg84ZTIYRz9X46RoGMbw"
"Skyline Roofing Inc","+1210-361-0498","2375 Ashley Park Dr, Plano, TX 75074","Plano","TX",5,10,"Roofing contractor","ChIJLUlXBQYZTIYRLPtuVOzHo1M"
"J-Town Roofing LLC","+1214-994-2489","8936 Cedar Breaks Dr, Plano, TX 75025","Plano","TX",5,23,"Roofing contractor","ChIJTW85jKw9TIYRIU42SD_91rE"
"Jeff Rodgers Roofing Contractor","+1214-635-7729","2500 Stone Creek Dr, Plano, TX 75075","Plano","TX",5,2,"Roofing contractor","ChIJJ-ciZ30YTIYR1oGTjMyolKs"
"Lubbock Roofing & General Contractors","+1806-305-4797","3004 50th St A, Lubbock, TX 79413","Lubbock","TX",4.8,17,"Roofing contractor","ChIJTV0_cKlt_oYRzcJIpXT9ib0"
"Lydick-Hooks Roofing Co","","1924 Clovis Rd, Lubbock, TX 79415","Lubbock","TX",4.3,8,"Roofing contractor","ChIJaTsU88MS_oYRUbTv3DmWmX4"
"D-B Roofing","+1806-765-6444","1500 Broadway St, Lubbock, TX 79401","Lubbock","TX",5,2,"Roofing contractor","ChIJcyJpNNQS_oYRGISlNwO76K0"
"Hackney Roofing","+1806-686-1181","5519 16th Pl, Lubbock, TX 79416","Lubbock","TX",5,28,"Roofing contractor","ChIJ_U4zuSkN_oYRYeROEcmlozw"
"LLANO Roofing LLC","+1806-598-2135","","Lubbock","TX",4.9,15,"Roofing contractor","ChIJN5zfVrWOk0IRkyXNn4LsTWc"
"Mendez General Contractors LLC","+1432-638-5769","8807 County Rd 6820 Suite 2, Lubbock, TX 79407","Lubbock","TX",4.6,39,"Roofing contractor","ChIJLSUmOel7UKAReZhsaso3Dg8"
"All-Star Restoration & Remodeling","+1806-781-9354","8215 Avenue D, Lubbock, TX 79404","Lubbock","TX",4.2,23,"Roofing contractor","ChIJSUJFK7ly_oYRKadiTHuvNXo"
"Crown Construction","+1806-441-3553","","Lubbock","TX",5,16,"Roofing contractor","ChIJVVXp8t9y_oYRaQpjimxm1ys"
"Gutierrez Roofing and Construction","+1806-300-2860","","Lubbock","TX",4.8,4,"Roofing contractor","ChIJcTb1KFJz_oYR_ubq_e8pdlA"
"Diamond J Roofing LLC","+1806-416-3045","1708 98th St, Lubbock, TX 79423","Lubbock","TX",5,9,"Roofing contractor","ChIJQ2PZQ21t_oYR9sNv2A9-IW4"
"Tosi Roofing","+1806-548-0551","3403 73rd St, Lubbock, TX 79423","Lubbock","TX",4,5,"Roofing contractor","ChIJ17ZkZ4dt_oYRhl4-meleqgs"
"Blessed Roofing & Construction LLC","+1806-654-1815","1508 SE 15th Ave, Amarillo, TX 79102","Amarillo","TX",4.8,17,"Roofing contractor","ChIJS0BjMZJPAYcRZUYUMWjN2yY"
"Panhandle Roofing Wranglers","+1806-672-2073","600 S Tyler St Suite 2100, Amarillo, TX 79101","Amarillo","TX",5,33,"Roofing contractor","ChIJnzPjzcVJAYcR4yhVFfeVTVo"
"Clark Roofing Company","+1806-374-1847","601 N Mirror St, Amarillo, TX 79107","Amarillo","TX",5,2,"Roofing contractor","ChIJ2S7b8cJOAYcRXUpV6m1gP0Y"
"Public Roofing","","Amarillo, TX 79107","Amarillo","TX",4,4,"Roofing contractor","ChIJr_hZKUxNAYcReg-AtqYddGM"
"Schrader Roofing","+1806-374-7243","612 SW 4th Ave, Amarillo, TX 79101","Amarillo","TX",5,3,"Roofing contractor","ChIJDb0icfhOAYcR6XSvZe7A_z0"
"GM Roofing LLC","+1806-420-5975","105 N Alabama St, Amarillo, TX 79106","Amarillo","TX",3,2,"Roofing contractor","ChIJwVc_XQ5PAYcRSi8m0Fs9dZM"
"Greenway Coatings","+1806-444-2406","610 N Grant St #5359, Amarillo, TX 79107","Amarillo","TX",3,2,"Roofing contractor","ChIJZXBtROlOAYcRtmZ4O6Ygql0"
"Hudson Brothers Roofing Amarillo","+1806-513-3854","6402 Claremont Dr, Amarillo, TX 79109","Amarillo","TX",5,4,"Roofing contractor","ChIJwXiPYdDNzmgROIMaX1w8gI0"
"806 Roofing & Remodel","+1806-310-0110","6976 Lago Dr, Amarillo, TX 79108","Amarillo","TX",4.4,7,"Roofing contractor","ChIJi6Vqdw1TAYcR4BVLwDE9OgM"
"Smart Shield Roofing & Const.","+1713-999-1733","3101 Hobbs Rd Suite 120, Amarillo, TX 79109","Amarillo","TX",3.7,6,"Roofing contractor","ChIJt96GvdtPAYcR6S7xzKncD5g"
"All American SWD Roofing","+1806-576-6658","2730 Duniven Cir # B, Amarillo, TX 79109","Amarillo","TX",5,4,"Roofing contractor","ChIJNdkLem9PAYcRYQKAajMuwog"
"Panhandle Precision Roofing & Restoration LLC","+1806-367-8346","2311 SW 7th Ave, Amarillo, TX 79106","Amarillo","TX",3,7,"Roofing contractor","ChIJb_BYhExPAYcRDtHrYiDCQz4"
"Shingles Express LCC","+1361-737-2022","1810 Comanche St, Corpus Christi, TX 78408","Corpus Christi","TX",4.8,30,"Roofing contractor","ChIJZYtXLUJeaIYRsvz7fMhS5-0"
"MCB General Contracting LLC","+1361-730-7005","4521 Ayers St suite #218, Corpus Christi, TX 78415","Corpus Christi","TX",4.9,18,"Roofing contractor","ChIJF5nlIPVeaIYRn4zk_qGWAxQ"
"Baldwin Roofing Co Inc","+1361-888-8373","642 Omaha Dr, Corpus Christi, TX 78408","Corpus Christi","TX",5,11,"Roofing contractor","ChIJI1u_mqJgaIYRpmTHI7kuRCs"
"H&H Roofing","+1361-500-8164","1011 10th St, Corpus Christi, TX 78404","Corpus Christi","TX",3.7,3,"Roofing contractor","ChIJ0xOw1ltfaIYReyf1rb3Zm9c"
"A. BANDA. M. ROOFING. Construction","+1361-549-2269","1446 Acapulco St, Corpus Christi, TX 78417","Corpus Christi","TX",4.8,10,"Roofing contractor","ChIJLXBMAXVfaIYRl-U8YZ2OGUk"
"Israel Trevino Roof and Home Repair","+1361-461-7451","618 Rosewood St, Corpus Christi, TX 78405","Corpus Christi","TX",5,5,"Roofing contractor","ChIJs-8XFjJeaIYRbUSKB4uYumc"
"vip roofing","+1361-300-5677","S, 16121 Seagrape St, Corpus Christi, TX 78418","Corpus Christi","TX",5,13,"Construction company","ChIJPR8RGdL7aIYRzQX2Ut9IARI"
"A Quality Roofing","+1361-429-2084","3806 Morgan Ave, Corpus Christi, TX 78405","Corpus Christi","TX",5,2,"Roofing contractor","ChIJA7xLFixeaIYR7Oq_2vUo_3Q"
"Jones-Tilley Roofing & Sheet Metal Co. Inc.","+1361-852-7663","2130 Saratoga Blvd, Corpus Christi, TX 78417","Corpus Christi","TX",5,9,"Roofing contractor","ChIJ949i9K6KaIYRHqlQIHT0NG4"
"Ace Roofing","+1361-857-6893","6334 Greenwood Dr, Corpus Christi, TX 78417","Corpus Christi","TX",5,2,"Roofing contractor","ChIJy2GWqQiLaIYR0CZH9XKAXlM"
"Great Built Roofing & Construction","+1361-886-7663","","Corpus Christi","TX",4.9,15,"Roofing contractor","ChIJ85nG6_1aaIYRD1cSnUezTww"
"Harbor Roofing","+1361-947-7600","6933 Edgebrook Dr, Corpus Christi, TX 78413","Corpus Christi","TX",4.1,14,"Roofing contractor","ChIJq6qqqnb2aIYRQk_q5sIhfmo"
"Next Level Roofing & Construction","+1361-299-5577","1321 Ayers St, Corpus Christi, TX 78404","Corpus Christi","TX",5,3,"Contractor","ChIJAQC03axfaIYRR2BjqnYzQaw"
"Ridgeline Roofing","+1361-334-5787","2449 Scotch Moss Dr, Corpus Christi, TX 78414","Corpus Christi","TX",5,10,"Roofing contractor","ChIJJT9o2cv1aIYRKi9YHbz-e04"
"Haeber Roofing Co","+1361-851-8142","2833 Holly Rd, Corpus Christi, TX 78415","Corpus Christi","TX",3.6,12,"Roofing contractor","ChIJCePB7Vn1aIYRBw9UNhJHMK0"
"Ochoa Roofing Corpus Christi","+1361-214-7724","6133 Saratoga Blvd, Corpus Christi, TX 78414","Corpus Christi","TX",5,5,"General contractor","ChIJJ_2Slyz0aIYRSE6FEbTIMyQ"
"Family Designs & Construction Inc.","+1361-207-6676","","Corpus Christi","TX",4,4,"Roofing contractor","ChIJWxYBz9VfaIYRu9xgUxuXwtE"
"Longhorn Roofing and Remodeling LLC","+1254-652-4073","1911 Herring Ave, Waco, TX 76708","Waco","TX",5,10,"Roofing contractor","ChIJ3aJPcnaDT4YRW70ry8XfPVU"
"Crosslink Contracting, LLC","+1254-751-0922","4300 W Waco Dr B2, Waco, TX 76710","Waco","TX",5,4,"Roofing contractor","ChIJ08YXW8aDT4YRw71UoNLZe7s"
"Beltran Roofing & Gutters","+1254-531-1846","700 Ruby Ave, Waco, TX 76710","Waco","TX",3,4,"Roofing contractor","ChIJbWeiG7evVgYRsqgFEIX_esc"
"Metal Roofing Experts","+1254-799-6701","608 TX-340 Loop, Bellmead, TX 76705","Waco","TX",4.2,5,"Roofing contractor","ChIJ-_AtQ214T4YRSDZjtjEiHjE"
"RRoofing LLC","+1254-252-2514","1913 Levi Parkway, Lorena, TX 76655, Chilton, TX 76632","Waco","TX",5,5,"Roofing contractor","ChIJH4HOcyaDRYYRs-esIcJ0ZIU"
"Salas Construction & Roofing LLC.","+1254-870-4569","5002 TX-340 Loop #6, Robinson, TX 76706","Waco","TX",5,2,"Roofing contractor","ChIJfTPGv6CBT4YRbieTBblmHP8"
"Canyon Edge Roofing Frisco","+1972-585-6292","2770 Main St, Frisco, TX 75033","Frisco","TX",5,14,"Roofing contractor","ChIJ2ZDOgPo7TIYR-sGBHMFs3lY"
"Cabrera & Sons Roofers LLC","+1469-940-4343","12292 FM 423, Frisco, TX 75033","Frisco","TX",4.8,98,"Roofing contractor","ChIJbV95hgc5TIYR0a5FoGQrJ2w"
"Atlas Roofing Frisco","+1214-617-4203","2770 Main St, Frisco, TX 75033","Frisco","TX",5,8,"Roofing contractor","ChIJ5UkrrdA7TIYRvnE4v-FAl1Y"
"Simpli Roofing","","5999 Custer Rd Ste 110-323, Frisco, TX 75035","Frisco","TX",4.9,39,"Roofing contractor","ChIJDew4UkoXTIYRU7le-ckD-sg"
"A&E Roofing","+1940-353-4135","3800 Gaylord Pkwy #97, Frisco, TX 75034","Frisco","TX",5,7,"Roofing contractor","ChIJHd6ouag9TIYR5JfoNGo-8hA"
"Marine Roofing, LLC","+1972-837-9688","122 Rose Ln j5, Frisco, TX 75034","Frisco","TX",4.7,12,"Roofing contractor","ChIJt_hUSgQ6TIYRiBVVNfaL6rA"
"ELITE Roofing and Exteriors LLC","+1469-955-1199","5 Cowboys Way STE 300, Frisco, TX 75034","Frisco","TX",5,8,"Roofing contractor","ChIJrd-FzGag46YRDlArkcqh21g"
"Industrial roofing and building maintenance company","+1469-664-1874","Email...industroofing@gmail.com, 4800 Printers Way Suite 1065, Frisco, TX 75033","Frisco","TX",5,2,"Roofing contractor","ChIJ4zluS-07TIYRr3CLgYp_BJA"
"Rawr Roofing","+1972-280-7705","6160 Warren Pkwy #100, Frisco, TX 75034","Frisco","TX",5,11,"Roofing contractor","ChIJHwLcTaA9TIYRhBAPxbGF364"
"Texas First Roofing & Construction","+1972-945-0124","2591 Dallas Pkwy Ste. 300, Frisco, TX 75034","Frisco","TX",3.4,5,"Roofing contractor","ChIJc4FQL6A9TIYRmuqBge5Ctyk"
"Ultra Roof Repair Jacksonville","+1904-341-4613","1 E Independent Dr #3830, Jacksonville, FL 32202","Jacksonville","FL",5,8,"Roofing contractor","ChIJexZMA-u35YgRzfC5HOZkQpI"
"Alton Roofing Services, LLC","+1904-235-5224","5352 Hwy Ave, Jacksonville, FL 32254","Jacksonville","FL",4.7,70,"Roofing contractor","ChIJCQEqC9C55YgROupuz8aLhBc"
"Equity Roofing LLC","+1904-631-1927","2650, Suite 2 Rosselle St, Jacksonville, FL 32204","Jacksonville","FL",5,5,"Roofing contractor","ChIJ48WjDW-55YgRMB3VpuYr_hY"
"Horizon Roofing Company","+1813-522-5206","401 E Jackson St, Tampa, FL 33602","Tampa","FL",5,3,"Roofing contractor","ChIJF4t-RpHFwogRT2iYdFFDMeo"
"Tampa Roofing Repair","+1239-456-0404","1602 River Dr, Tampa, FL 33603","Tampa","FL",4.8,12,"Roofing contractor","ChIJi6KD8qxZ2YARh6H00m-0dI8"
"Bravo Roofing & Gutters","+1813-923-3306","1507 W Cypress St, Tampa, FL 33606","Tampa","FL",5,10,"Roofing contractor","ChIJVVWlTlfVTYYRbjqJx1w8yrc"
"Hunter & Sons Roofing","+1813-320-4600","506 E Baker St, Tampa, FL 33603","Tampa","FL",4.8,6,"Roofing contractor","ChIJCfW56zzFwogRaho82zlT5-o"
"Hard Rock Roofing service","","306 E Tyler St, Tampa, FL 33602","Tampa","FL",5,4,"Roofing contractor","ChIJnapuFkDFwogRXVYA2aXpoBI"
"SOS Roofing Co","+1813-295-2794","1718 E 7th Ave b, Tampa, FL 33605","Tampa","FL",5,7,"Roofing contractor","ChIJjeIkJBlnhYARkWGCxtfJPXc"
"Ricky Johnson Roofing, Inc.","+1813-248-5103","3505 N 10th St, Tampa, FL 33605","Tampa","FL",4.4,8,"Roofing contractor","ChIJbWXfOznEwogRgSHHmaPHNu4"
"ROOKOZ ROOFING LLC","+1321-321-9368","155 S Court Ave UNIT 1114, Orlando, FL 32801","Orlando","FL",4.8,12,"Roofing contractor","ChIJjZLMCTJ754gRM-7fKfezPes"
"Direct Roofing Company","+1407-459-7746","646 W Smith St, Orlando, FL 32804","Orlando","FL",5,20,"Roofing contractor","ChIJ8VQmtVd754gRiKWqnSYvs4A"
"Four Seasons Roofing and Carpentry LLC","","520 E Church St Apt 721, Orlando, FL 32801","Orlando","FL",5,22,"Roofing contractor","ChIJ6doEt4R754gR0-BhYOuthoU"
"Optimal Green Roofing","+1800-481-9771","618 E South St STE 500, Orlando, FL 32801","Orlando","FL",5,22,"Roofing contractor","ChIJ34qMNpc5zicRdVPHHefBFxs"
"Florida Roofing Contractors","+1321-666-7099","4730 Rixey St, Orlando, FL 32803","Orlando","FL",3.5,11,"Roofing contractor","ChIJ6VRFfJov34cRY_Qc4nEHjcQ"
"The Roof Repair Orlando Inc","+1321-524-2965","524 S Lakeland Ave, Orlando, FL 32805","Orlando","FL",4.9,17,"Roofing contractor","ChIJhT5dY1J754gRSC92bvsA8Q0"
"Donovan Roofing and Construction","+1321-204-1227","250 N Orange Ave #605, Orlando, FL 32801","Orlando","FL",5,2,"Roofing contractor","ChIJTRRLhJ9754gRCBY-2kuVh0o"
"GOAT Roofers","+1407-242-5082","1711 35th St, Orlando, FL 32839","Orlando","FL",5,9,"Roofing contractor","ChIJ7aNOxhV_54gRJ9yDFyPc8Tg"
"Roofers Core Builders","+1645-666-1250","1259 NW 7th St, Miami, FL 33125","Miami","FL",4.9,15,"Roofing contractor","ChIJa5V4mCq32YgRHLr26EkfwE4"
"Heritage Roof Care","+1305-330-3441","1101 Brickell Bay Dr, Miami, FL 33131","Miami","FL",5,3,"Roofing contractor","ChIJmRSuekO32YgRmeNDhr2W3ko"
"Paramount Roof Repairs","+1305-320-2978","801 Brickell Ave, Miami, FL 33131","Miami","FL",5,3,"Roofing contractor","ChIJTfIurcG32YgRn6NikqtmOos"
"Atlantic Roofing Miami","+1786-401-8964","1001-1011 SW 27th Ave, Miami, FL 33135","Miami","FL",4.9,42,"Roofing contractor","ChIJgXyvKx232YgRIqtJ0qFTc0M"
